"CommuteDays","MilesOneWay","Bus"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
3,19.5467475,"Yes"
4,21.66783945,"Yes"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,21.66783945,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
4,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"Yes"
4,21.66783945,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,21.66783945,"Yes"
5,21.66783945,"No"
6,21.66783945,"No"
6,21.66783945,"No"
4,21.66783945,"No"
5,21.66783945,"No"
5,19.5467475,"No"
5,21.66783945,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,21.66783945,"No"
5,21.66783945,"No"
5,21.66783945,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,21.66783945,"No"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"No"
1,19.5467475,"No"
5,19.5467475,"No"
5,21.66783945,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
1,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"No"
4,21.66783945,"No"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"No"
5,19.5467475,"No"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
5,19.5467475,"Yes"
2,19.5467475,"No"
5,15.7260438,"Yes"
4,15.7260438,"No"
6,15.7260438,"No"
5,15.7260438,"Yes"
6,15.7260438,"No"
5,15.7260438,"No"
3,15.7260438,"No"
5,17.48038371,"Yes"
4,17.48038371,"No"
5,17.48038371,"No"
5,15.7260438,"No"
5,17.48038371,"Yes"
5,17.48038371,"No"
5,15.7260438,"Yes"
3,17.48038371,"No"
5,17.48038371,"No"
