WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
12243,,Other (please specify),North Point Breeze,,5,Dropped off / Picked up,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
760,,Downtown (includes Golden Triangle & Lower Hill),,,4,Bus,71,6,Drive Alone,29,2,I do not use a third transportation method,0,0
91,,Other (please specify),Station Square,,5,Bus,100,10,I only commute by one method,,0,,0,0
13230,,Downtown (includes Golden Triangle & Lower Hill),,,5,Light Rail (T),100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
11850,,Oakland,,,1,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,2,I only commute by one method,0,0,I do not use a third transportation method,0,0
728,10106,Other (please specify),Coraopolis,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,Drive Alone,0,0,I do not use a third transportation method,0,0
4928,10225,Other (please specify),Point Breeze,,5,Other,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
303,10524,Downtown (includes Golden Triangle & Lower Hill),,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
20016,11111,Downtown (includes Golden Triangle & Lower Hill),,,5,Carpool,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
1753,12505,Uptown / Bluff,,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
9060,12532,Oakland,,,7,Bike,75,11,Bus,25,4,I do not use a third transportation method,0,0
17080,12551,Downtown (includes Golden Triangle & Lower Hill),,,5,Dropped off / Picked up,80,8,I only commute by one method,,0,Bus,20,2
1525,12642,Downtown (includes Golden Triangle & Lower Hill),,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
5089,13743,Other (please specify),Other,,3,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,6,I only commute by one method,0,0,I do not use a third transportation method,0,0
15199,14623,Other (please specify),Robinson ,,5,Bus,80,8,Drive Alone,20,2,I do not use a third transportation method,0,0
94,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,Bus,100,10,I only commute by one method,,0,,0,0
96,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,Bus,100,10,I only commute by one method,,0,,0,0
99,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,Bus,100,10,I only commute by one method,,0,,0,0
106,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,Bus,100,10,I only commute by one method,,0,,0,0
288,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,3,Bus,60,3.6,Telecommute,40,2.4,I do not use a third transportation method,0,0
420,15001,Oakland,,21.66783945,4,Bus,47,4,Drive Alone,53,4,I do not use a third transportation method,0,0
647,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,"Park and Ride (not including Downtown, North Shore, Station Square, Strip District, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
758,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
940,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
1113,15001,Downtown (includes Golden Triangle & Lower Hill),,19.5467475,5,"Park and Ride (not including Downtown, North Shore, Station Square, Strip District, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
